id,party,party_name,party_id,position,eu_salience,eu_dissent,eu_blur,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,party_a_econ,party_b_econ,party_c_econ,gender,dob,lrecon_self,galtan_self,cname,eu_position_sd,lrecon_sd,galtan_sd,eu_econ_require,eu_political_require,eu_googov_require
1,1,GERB,2010,7,9,1,,5,,1,10,6,,5,5,5,7,5,1,5,5,1,8,9,5,5,5,5,5,6,5,5,5,5,5,5,9,4,1,5,1,5,9,7,7,7,7,4,3,9,6,1,1948,9,3,,,,,,,
1,2,BSP,2003,5,6,4,,3,,5,7,9,,5,8,,5,5,5,5,7,5,1,10,5,5,2,3,0,7,8,4,5,7,7,9,9,2,1,9,9,5,7,7,4,3,3,4,3,9,6,1,1948,9,3,,,,,,,
1,3,DPS,2004,7,9,2,,5,,1,9,5,,2,8,4,3,5,1,5,8,1,8,5,5,5,5,5,5,6,5,5,2,5,7,9,9,2,0,5,9,5,9,7,6,7,7,6,3,9,6,1,1948,9,3,,,,,,,
1,4,Volya,2017,3,6,4,,7,,5,9,9,,2,8,6,6,5,1,5,8,1,8,10,5,5,7,5,5,6,5,5,9,7,2,9,9,2,1,2,9,5,9,7,4,7,4,3,3,9,6,1,1948,9,3,,,,,,,
1,5,NFSB,2014,3,6,4,,7,,5,5,9,,2,8,6,10,10,1,5,8,1,8,6,5,5,7,4,2,9,8,6,9,7,5,9,9,7,4,2,9,7,9,7,5,7,5,3,3,9,6,1,1948,9,3,,,,,,,
1,6,Ataka,2007,3,6,4,,3,,5,5,9,,2,8,8,10,10,1,10,8,1,8,10,5,5,7,4,2,9,8,6,9,7,2,9,9,2,4,6,9,7,9,6,3,3,3,2,3,9,6,1,1948,9,3,,,,,,,
1,7,BMRO,2005,5,6,2,,4,,5,5,9,,2,8,6,10,10,1,10,8,1,8,10,6,7,7,4,2,9,8,6,9,7,2,9,9,7,2,4,9,,9,7,3,5,4,3,3,9,6,1,1948,9,3,,,,,,,
1,8,DB,2018,7,10,0,,9,,0,9,1,,1,9,9,2,3,5,1,5,1,6,3,2,9,9,9,10,0,1,2,2,2,5,1,1,9,1,4,5,1,2,7,7,7,7,7,3,9,6,1,1948,9,3,,,,,,,
1,9,DSB,2008,7,10,0,,9,,0,9,1,,1,9,9,2,3,5,1,5,1,6,3,2,9,9,9,10,0,1,2,2,2,5,1,1,9,1,4,5,1,2,7,7,7,7,7,3,9,6,1,1948,9,3,,,,,,,
1,10,Slavi Trifonov,2019,6,9,1,,5,,5,5,5,,1,5,5,,,,3,5,1,,,,,9,,10,,5,2,2,5,5,5,4,2,1,9,9,1,9,7,6,7,6,4,3,9,6,1,1948,9,3,,,,,,,
