ID,Anzahl,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Flensburg – Schleswig,11,"Nicolaisen, Petra (CDU - MdB, Industriekauffrau - Wanderup)","Brzezicha, Franziska Maria (SPD - wiss. Mitarbeiterin - Treia)","Anastasiadis, Christoph Georgios (FDP - Kaufmann - Flensburg)","Habeck, Robert (GRÜNE - Politiker - Flensburg)","Petersen-Brendel, Jan (AfD - Kfz-Mechaniker - Wanderup)","Hoop, Katrine (DIE LINKE - Kriminologin - Flensburg)","Jöhnk, Arne Olaf (FREIE WÄHLER - Berufssoldat - Schleswig)","Wölbing, Marko (dieBasis - Lehrer - Flensburg)","Keshavarz Khorasgani, Dariush (du. - Student - Kiel)","Christiansen, Uwe Hermann (LKR - Berufssoldat a. D. - Groß Rheide)","Seidler, Stefan (SSW - Deutsch-Dänischer Koordinator - Flensburg)",null,null,null,null,null,null,null
Nordfriesland – Dithmarschen Nord,10,"Damerow, Astrid (CDU - MdB, Bankkauffrau - Leck)","Jensen, Jens Peter (SPD - Politikwissenschaftler - Witzwort)","Jensen-Bornhöft, Gyde (FDP - Politikwissenschaftlerin (M. A.) - Kiel)","Loop, Denise (GRÜNE - Sozialarbeiterin - Heide)","Clasen, Andrej (AfD - Einzelhandelskaufmann - Achtrup)","Jensen, Hartmut Otto (DIE LINKE - Rohrnetzmonteur - Schwabstedt)","Wilhelmi, Traymont (FREIE WÄHLER - Werkstudent im Einzel- und Grenzhandel - Flensburg)","Stolz, Sandor (dieBasis - Busfahrer - Risum-Lindholm)","Frey, Axel (LKR - Altenpflegehelfer - Wesselburen)","Nitsch, Sybilla Lena (SSW - Lehrerin - Husum)",null,null,null,null,null,null,null,null
Steinburg – Dithmarschen Süd,10,"Helfrich, Mark (CDU - Mitglied des Deutschen Bundestages - Dägeling)","Thissen, Dr. Karin (SPD - Tierärztin - Itzehoe)","Kubicki, Wolfgang (FDP - Rechtsanwalt - Strande)","Nestle, Dr. Ingrid Johanna (GRÜNE - Dipl.-Wirtschaftsingenieurin - Berlin)","Voigt, Jan (AfD - Dipl.-Verwaltungswirt (FH) - Itzehoe)","Schilke, Michael (DIE LINKE - Angestellter - Hochdonn)","Köster, Jens (FREIE WÄHLER - Angestellter - Krempe)","Habermann, Stefan (dieBasis - Dozent - Kellinghusen)","Riemann, Mark (LKR - Unternehmer - Marne)","Pilgrim, Robert (V-Partei³ - Sonderschullehrer - Oeschebüttel)",null,null,null,null,null,null,null,null
Rendsburg-Eckernförde,10,"Wadephul, Dr. Johann David (CDU - MdB, Rechtsanwalt - Molfsee)","Rix, Sönke (SPD - Erzieher - Eckernförde)","Aschenberg-Dugnus, Christine Irene (FDP - Rechtsanwältin - Strande)","Blasel, Jakob (GRÜNE - Student der Rechtswissenschaften - Kronshagen)","Bollmann, Gereon (AfD - Richter a. D. - Kiel)","Schultz, Hauke Henning (DIE LINKE - Unternehmer - Rendsburg)","Saul, Nils-Hermann (Die PARTEI - Versicherungskaufmann - Rendsburg)","Kahlund, Bärbel (FREIE WÄHLER - Rentnerin - Schleswig)","Thiesen, Holger (dieBasis - Rentner - Schülp b. Rendsburg)","Roßberg, Maylis (SSW - Studentin - Kiel)",null,null,null,null,null,null,null,null
Kiel,14,"Stritzl, Thomas (CDU - Rechtsanwalt - Kiel)","Stein, Jens Mathias (SPD - Bautechniker - Kiel)","Mordhorst, Maximilian (FDP - Student - Kiel)","Amtsberg, Luise (GRÜNE - MdB, Islamwissenschaftlerin - Berlin)","Reimers, Eike Julius (AfD - Student - Kiel)","Beutin, Lorenz Gösta (DIE LINKE - Mitglied des Deutschen Bundestages - Kiel)","Wrobel, Florian Gerd (Die PARTEI - Student - Kiel)","Görtz, Christian (FREIE WÄHLER - Geschäftsführer - Norderstedt)","Zan Bi, Karin (MLPD - Postzustellerin - Kiel)","Michel, Björn (dieBasis - Elektrokonstrukteur - Flintbek)","Müller, Barbara Kristine (DKP - Honorarkraft Grundschule - Kosel)","Abramik, Paula Bianka (du. - arbeitslos - Kiel)","Schmidt, Frank Marcel (SSW - Pressesprecher - Kiel)","Wadehn, Simon Martin (Volt - Student - Kiel)",null,null,null,null
Plön – Neumünster,10,"Bernstein, Melanie (CDU - MdB, Kulturwissenschaftlerin - Wahlstedt)","Klinck, Dr. Kristian (SPD - Studienrat - Preetz)","Schulz, Gunnar (FDP - Betriebswirt - Heikendorf)","Drees, Martin (GRÜNE - Dipl.-Sozialpädagoge - Wahlstorf)","Giersch, Alexis Leonard (AfD - Nautiker, Dipl.-Ingenieur (FH) - Preetz)","Gschwind-Wiese, Gabriele Maria Margareta (DIE LINKE - Sachbearbeiterin - Blekendorf)","Käding, Jana (Die PARTEI - tiermed. Fachangestellte - Kiel)","Koch, Manfred (FREIE WÄHLER - Landwirtschaftsmeister, Bürgermeister - Giekau)","Reiß, Karina (dieBasis - Universitätsprofessorin - Martensrade)","Joost, Jürgen (LKR - Geschäftsführer - Neumünster)",null,null,null,null,null,null,null,null
Pinneberg,11,"von Abercron, Dr. Ernst Michael (CDU - MdB, Dipl.-Agraringenieur - Pinneberg)","Stegner, Dr. Ralf (SPD - Politikwissenschaftler, Minister a. D. - Bordesholm)","Rösch, Philipp (FDP - Dipl.-Kaufmann - Klein Offenseth-Sparrieshoop)","Herrndorff, Jens (GRÜNE - Musikmanager - Barmstedt)","Schneider, Joachim Rudi (AfD - IT-Systemadministrator - Elmshorn)","Möhring, Cornelia (DIE LINKE - Sozialökonomin - Giekau)","Inak, Erkan (Die PARTEI - Kundenbetreuer - Wedel)","Arbeck, Kathrin (FREIE WÄHLER - Flugbegleiterin - Norderstedt)","Lehmann, Beate Sabine (dieBasis - Unternehmerin - Wedel)","Urban, Rainer (LKR - Unternehmer - Halstenbek)","Edmund, Claudia (SSW - Geschäftsinhaberin - Helgoland)",null,null,null,null,null,null,null
Segeberg – Stormarn-Mitte,9,"Storjohann, Gero (CDU - MdB, Dipl.-Betriebswirt (FH) - Seth)","Bergt, Bengt Axel (SPD - Redakteur - Norderstedt)","Schupp, Jan (FDP - Security Client Executive - Henstedt-Ulzburg)","Bollenbach, Nils (GRÜNE - Filmschaffender, Künstler - Bargteheide)","Wendorf, Sven (AfD - Verwaltungsfachangestellter - Norderstedt)","Schultz, Malin (DIE LINKE - Studentin - Norderstedt)","Schreiber, Beate (Die PARTEI - Dipl.-Rechtspflegerin (FH) - Norderstedt)","Glagau, Julia (FREIE WÄHLER - Gesundheits- und Krankenpflegerin - Norderstedt)","Westphal, Claudia (dieBasis - Bankkauffrau - Kaltenkirchen)",null,null,null,null,null,null,null,null,null
Ostholstein – Stormarn-Nord,9,"Gädechens, Ingo Adolf August (CDU - MdB, Berufssoldat a. D. - Fehmarn)","Hagedorn, Bettina (SPD - MdB, Goldschmiedin - Kasseedorf)","Hansen, Jörg (FDP - Polizeibeamter - Stockelsdorf)","Brunken, Jakob (GRÜNE - Zimmerermeister - Kasseedorf)","Witt, Uwe (AfD - MdB, Betriebswirt - Berlin)","Spethmann, Susanne (DIE LINKE - Krankenschwester - Kasseedorf)","Gutzeit, David Frederic (FREIE WÄHLER - Student - Eutin)","Metzig, Michael (dieBasis - selbst. Veranstalter - Oldenburg in Holstein)","Schlüter, Mergim René (Einzelbewerbung - Gesundheits- und Krankenpfleger - Neustadt in Holstein)",null,null,null,null,null,null,null,null,null
Herzogtum Lauenburg – Stormarn-Süd,10,"Peters, Dr. Thomas (CDU - Jurist - Wentorf bei Hamburg)","Scheer, Dr. Nina (SPD - Juristin, Politikwissenschaftlerin, Musikerin - Geesthacht)","Turowski, Martin (FDP - Unternehmer - Ziethen)","von Notz, Dr. Konstantin (GRÜNE - Volljurist - Mölln)","Neumann, Wiebke (AfD - kaufm. Angestellte - Trittau)","Hinrichs, Christoph Ulrich (DIE LINKE - Industriekaufmann - Geesthacht)","Schönfelder, Arne (Die PARTEI - Zimmerermeister - Großhansdorf)","Runge, Christian (FREIE WÄHLER - Medientechniker - Schwarzenbek)","Micklich, Matthias (dieBasis - Klavierlehrer - Geesthacht)","Schlüter, Peter Johannes (DKP - Mediengestalter - Ahrensburg)",null,null,null,null,null,null,null,null
