Accounts;Explanation1;Hashtags;Explanation2
xxxx;xxxx;#bundestagswahl;General hashtags about the elections
;;#bundestagswahl2021;
;;#bundestagswahl21;
;;#btw2021;
;;#btw21;
;;#kanzlerkandidat;
;;#kanzlerkandidatin;
;;#bundesregierung;
;;#bundestag;
;;#christdemokratischeunion;Hashtags for parties
;;#cdu;
;;#csu;
;;#cducsu;
;;#christdemokraten;
;;#gruene;
;;#diegruenen;
;;#buendnis90;
;;#buendnis90diegruenen;
;;#sozialdemokratischepartei;
;;#spd;
;;#sozialdemokraten;
;;#freiedemokratischepartei;
;;#fdp;
;;#dieliberalen;
;;#afd;
;;#alternativefuerdeutschland;
;;#dielinke;
;;#dielinken;
;;#linke;
;;#laschet;Hashtags for candidates
;;#arminlaschet;
;;#baerbock;
;;#annalenabaerbock;
;;#habeck;
;;#roberthabeck;
;;#scholz;
;;#olafscholz;
;;#lindner;
;;#christianlindner;
;;#weidel;
;;#aliceweidel;
;;#chrupalla;
;;#tinochrupalla;
;;#wissler;
;;#janinewissler;
;;#bartsch;
;;#dietmarbartsch;
;;#triell;Buzzwords regarding the elections
;;#laschetverhindern;
;;#laschetdarfnichtkanzlerwerden;
;;#laschetlacht;
;;#klimaschutz;
;;#laschetluegt;
;;#niemehrcdu;
;;#baerplag;
;;#grueneverhindern;
;;#afghanistan;
;;#baerbockplag;
;;#cumex;
;;#wirecard;
;;#g20;
;;#scholzpacktdasan;
;;#freegeorgthiel;
;;#kubicki;
;;#freeassange;
;;#kinderdurchseuchung;
;;#praesenzpflichtaussetzen;
;;#luftfiltersofort;
;;#afdp;
;;#nawalny;
;;#noafd;
;;#fckafd;
;;#afdrausausdenparlamenten;
;;#fcknzs;
;;#deutschlandabernormal;
;;#meuthen;
;;#gauland;
;;#afdverfassungsfeindlich;
;;#fcknzs;
;;#sommerinterview;
;;#kinderkongress;
;;#afdiststaatszersetzend;
;;#lanz;
;;#machtdaslandgerecht;
;;#maischberger;
;;#linkebpt;
;;#sed;
;;#sozialklimagerecht;
;;#merkel;
;;#sozialegerechtigkeitwaehlen;
;;#zweifuerdeutschland;
;;#niegabesmehrzutun;
